"repo","qname","file","line","reason","kind"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.tests.unit.components.models_and_agents.test_agent_create_agent.test_should_attach_token_usage_handler_and_set_usage_on_result_properties","langflow-ai_langflow/src/lfx/tests/unit/components/models_and_agents/test_agent_create_agent.py","442","matches '.run' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.tests.unit.components.models_and_agents.test_agent_create_agent.test_should_update_stored_message_and_send_event_when_token_usage_and_result_has_id","langflow-ai_langflow/src/lfx/tests/unit/components/models_and_agents/test_agent_create_agent.py","488","matches '.run' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.tests.unit.components.models_and_agents.test_agent_create_agent.test_should_skip_db_round_trip_when_result_has_no_id","langflow-ai_langflow/src/lfx/tests/unit/components/models_and_agents/test_agent_create_agent.py","536","matches '.run' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.tests.unit.components.models_and_agents.test_agent_create_agent.test_should_pass_event_manager_on_token_callback_to_process_agent_events","langflow-ai_langflow/src/lfx/tests/unit/components/models_and_agents/test_agent_create_agent.py","582","matches '.run' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.tests.unit.components.models_and_agents.test_agent_create_agent.test_should_pass_none_on_token_callback_when_event_manager_is_absent","langflow-ai_langflow/src/lfx/tests/unit/components/models_and_agents/test_agent_create_agent.py","618","matches '.run' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.tests.unit.components.models_and_agents.test_agent_create_agent.test_should_delete_stored_message_and_emit_remove_event_on_exception_with_message_error","langflow-ai_langflow/src/lfx/tests/unit/components/models_and_agents/test_agent_create_agent.py","645","matches '.run' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.tests.unit.components.models_and_agents.test_agent_create_agent.test_should_skip_delete_message_on_exception_when_message_was_not_stored","langflow-ai_langflow/src/lfx/tests/unit/components/models_and_agents/test_agent_create_agent.py","687","matches '.run' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.tests.unit.components.models_and_agents.test_agent_create_agent.test_should_invoke_graph_astream_events_with_messages_input_when_run_agent_called","langflow-ai_langflow/src/lfx/tests/unit/components/models_and_agents/test_agent_create_agent.py","876","matches '.run' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.tests.unit.components.models_and_agents.test_agent_create_agent.test_should_pass_recursion_limit_derived_from_max_iterations_when_streaming_events","langflow-ai_langflow/src/lfx/tests/unit/components/models_and_agents/test_agent_create_agent.py","1276","matches '.run' from langchain_core","direct"
"langflow-ai/langflow","langflow-ai_langflow.src.lfx.tests.unit.components.models_and_agents.test_agent_create_agent.test_should_complete_run_agent_synchronously_before_returning_so_downstream_agents_see_final_state","langflow-ai_langflow/src/lfx/tests/unit/components/models_and_agents/test_agent_create_agent.py","1327","matches '.run' from langchain_core","direct"
